frame_index,left_gripper_diff,right_gripper_diff
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,1.956,0.43466666
174,2.3906667,0.21733333
175,2.3906667,0.21733333
176,1.5213333,0.21733333
177,0.652,0.21733333
178,0.21733333,0.21733333
179,0.21733333,0.21733333
180,0.21733333,0.21733333
181,0.21733333,0.21733333
182,0.21733333,0.21733333
183,0.21733333,0.21733333
184,0.21733333,0.21733333
185,0.21733333,0.21733333
186,0.21733333,0.21733333
187,0.21733333,0.21733333
188,0.21733333,0.21733333
189,0.21733333,0.21733333
190,0.21733333,0.21733333
191,0.21733333,0.21733333
192,0.21733333,0.21733333
193,0.21733333,0.21733333
194,0.21733333,0.21733333
195,0.21733333,0.21733333
196,0.21733333,0.21733333
197,0.21733333,0.21733333
198,0.21733333,0.21733333
199,0.21733333,0.21733333
200,0.21733333,0.21733333
201,0.21733333,0.21733333
202,0.21733333,0.21733333
203,0.21733333,0.21733333
204,0.21733333,0.21733333
205,0.21733333,0.21733333
206,0.21733333,0.21733333
207,0.21733333,0.07733333
208,0.21733333,-0.2726667
209,0.21733333,-0.037999988
210,0.21733333,1.006
211,0.21733333,2.510625
212,0.21733333,5.76875
213,0.21733333,8.724375
214,0.21733333,12.535
215,0.21733333,20.049376
216,0.21733333,25.620625
217,0.21733333,30.80375
218,0.21733333,37.005
219,0.21733333,46.59375
220,0.21733333,54.02
221,0.21733333,65.71375
222,0.21733333,73.3375
223,0.21733333,82.793335
224,0.21733333,96.40833
225,0.21733333,105.61667
226,0.21733333,112.79
227,0.21733333,117.0613
228,0.21733333,118.295
229,0.21733333,118.6475
230,0.21733333,118.6475
231,0.21733333,118.6475
232,0.21733333,118.6475
233,0.21733333,118.6475
234,0.21733333,118.6475
235,0.21733333,118.6475
236,0.21733333,118.6475
237,0.21733333,118.6475
238,0.21733333,118.6475
239,0.21733333,118.6475
240,0.21733333,118.6475
241,0.21733333,118.6475
242,0.21733333,118.6475
243,0.21733333,118.6475
244,0.21733333,118.6475
245,0.21733333,118.6475
246,0.21733333,118.6475
247,0.21733333,118.6475
248,0.21733333,118.6475
249,0.21733333,118.6475
250,0.21733333,118.6475
251,0.21733333,118.6475
252,0.21733333,118.6475
253,0.21733333,118.6475
254,0.21733333,118.6475
255,0.21733333,118.6475
256,0.21733333,118.6475
257,0.21733333,118.6475
258,0.21733333,118.6475
259,0.21733333,118.6475
260,0.21733333,118.6475
261,0.21733333,118.6475
262,0.21733333,118.6475
263,0.21733333,118.6475
264,0.21733333,118.6475
265,0.21733333,118.6475
266,0.21733333,118.6475
267,0.21733333,118.6475
268,0.0,118.6475
269,0.21733333,118.6475
270,0.21733333,118.6475
271,0.21733333,118.6475
272,0.21733333,118.6475
273,0.21733333,118.6475
274,0.21733333,118.6475
275,0.21733333,118.8875
276,0.21733333,119.3375
277,0.21733333,119.4713
278,0.0,119.1188
279,0.0,117.7088
280,0.0,113.17333
281,0.21733333,106.003334
282,0.0,93.8
283,0.21733333,83.793335
284,0.0,71.72
285,0.21733333,63.9325
286,0.21733333,55.02
287,0.21733333,44.9125
288,0.21733333,38.005
289,0.21733333,31.80375
290,0.21733333,24.7425
291,0.21733333,21.049376
292,0.0,13.535
293,0.0,8.60875
294,0.0,5.76625
295,0.21733333,3.510625
296,0.0,1.5213333
297,0.21733333,0.43466666
298,0.0,0.21733333
299,0.0,0.21733333
300,0.21733333,0.21733333
301,0.21733333,0.21733333
302,0.21733333,0.21733333
303,0.0,0.21733333
304,0.0,0.21733333
305,0.21733333,0.21733333
306,0.0,0.21733333
307,0.0,0.21733333
308,0.0,0.21733333
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,0.0,0.0
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
