frame_index,left_gripper_diff,right_gripper_diff
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.21733333,0.21733333
220,0.21733333,0.21733333
221,0.21733333,0.21733333
222,0.21733333,0.21733333
223,0.21733333,0.21733333
224,0.21733333,0.21733333
225,0.21733333,0.21733333
226,0.21733333,0.21733333
227,0.21733333,0.21733333
228,0.21733333,0.0
229,0.21733333,0.21733333
230,0.21733333,0.0
231,0.21733333,0.21733333
232,0.21733333,0.21733333
233,0.21733333,0.21733333
234,0.21733333,0.0
235,0.21733333,0.21733333
236,0.21733333,0.21733333
237,0.21733333,0.21733333
238,0.21733333,0.21733333
239,0.21733333,0.21733333
240,0.21733333,0.21733333
241,0.21733333,0.21733333
242,0.21733333,0.0
243,0.21733333,0.21733333
244,0.21733333,0.21733333
245,0.21733333,0.21733333
246,0.21733333,0.21733333
247,0.21733333,0.21733333
248,0.21733333,0.21733333
249,0.21733333,0.21733333
250,0.21733333,0.21733333
251,0.21733333,0.21733333
252,0.21733333,0.0
253,0.21733333,0.21733333
254,0.21733333,0.21733333
255,0.21733333,0.0
256,0.21733333,0.0
257,0.21733333,0.21733333
258,0.21733333,0.21733333
259,0.21733333,0.21733333
260,0.21733333,0.21733333
261,0.21733333,0.0
262,0.21733333,0.21733333
263,0.21733333,0.21733333
264,0.21733333,0.0
265,0.21733333,0.21733333
266,0.21733333,0.0
267,0.21733333,0.21733333
268,0.21733333,0.0
269,0.21733333,0.0
270,0.21733333,0.21733333
271,0.21733333,0.21733333
272,0.21733333,0.21733333
273,0.21733333,0.21733333
274,0.21733333,0.0
275,0.21733333,0.0
276,0.21733333,-0.18
277,0.21733333,-0.29266667
278,0.21733333,0.644
279,0.21733333,1.838
280,0.21733333,3.513125
281,0.21733333,6.71625
282,0.21733333,9.84
283,0.21733333,14.219375
284,0.21733333,20.049376
285,0.21733333,27.123125
286,0.21733333,32.931873
287,0.21733333,41.8675
288,0.21733333,48.73875
289,0.21733333,57.27
290,0.21733333,67.93875
291,0.21733333,76.609375
292,0.21733333,86.666664
293,0.21733333,96.40833
294,0.21733333,110.0
295,0.21733333,116.18
296,0.21733333,117.7663
297,0.0,118.6475
298,0.21733333,118.8238
299,0.21733333,118.8238
300,0.0,118.8238
301,0.21733333,118.8238
302,0.21733333,118.8238
303,0.0,118.8238
304,0.21733333,118.8238
305,0.0,118.8238
306,0.0,118.8238
307,0.21733333,118.8238
308,0.0,118.8238
309,0.0,118.8238
310,0.0,118.8238
311,0.0,118.8238
312,0.21733333,118.8238
313,0.0,118.8238
314,0.0,118.8238
315,0.0,118.8238
316,0.0,118.8238
317,0.0,118.8238
318,0.0,118.8238
319,0.0,118.8238
320,0.0,118.8238
321,0.21733333,118.8238
322,0.0,118.8238
323,0.0,118.8238
324,0.0,118.8238
325,0.0,118.8238
326,0.21733333,118.8238
327,0.0,118.8238
328,0.0,118.8238
329,0.0,118.8238
330,0.0,118.8238
331,0.0,118.8238
332,0.21733333,118.8238
333,0.0,118.8238
334,0.0,118.8238
335,0.0,118.8238
336,0.0,118.8238
337,0.0,118.8238
338,0.0,118.8238
339,0.0,118.8238
340,0.21733333,118.8238
341,0.0,118.8238
342,0.21733333,118.8238
343,0.21733333,118.8238
344,0.21733333,118.8238
345,0.0,118.8238
346,0.0,118.8238
347,0.0,118.8238
348,0.0,118.8238
349,0.0,118.8238
350,0.0,118.8238
351,0.0,118.8238
352,0.0,118.8238
353,0.0,118.8238
354,0.0,118.8238
355,0.0,118.8238
356,0.0,118.8238
357,0.21733333,118.8238
358,0.21733333,118.8238
359,0.21733333,118.8238
360,0.0,118.8238
361,0.0,118.8238
362,0.0,118.8238
363,0.0,118.8238
364,0.21733333,118.8238
365,0.0,118.8238
366,0.21733333,118.8238
367,0.0,118.8238
368,0.0,118.8238
369,0.0,118.8238
370,0.0,118.8238
371,0.0,118.8238
372,0.0,118.8238
373,0.0,118.8238
374,0.21733333,118.8238
375,0.0,119.0738
376,0.0,119.6475
377,0.0,119.1188
378,0.0,118.2375
379,0.0,115.485
380,0.0,108.315
381,0.0,96.68667
382,0.0,87.0
383,0.0,76.955
384,0.21733333,66.1575
385,0.0,57.62
386,0.0,47.0575
